name;constellation;bayer;ra;dec;mag;bv
;For;χ2 For;03:27:33.41;-35:40:52.76;5.71;1.28
;For;χ3 For;03:28:11.52;-35:51:12.33;6.49;0.13
;Ret;κ Ret;03:29:22.41;-62:56:15.10;4.71;0.41
;Per;σ Per;03:30:34.48;47:59:42.78;4.36;1.37
Ran;Eri;ε Eri;03:32:55.85;-9:27:29.74;3.72;0.88
;Eri;τ5 Eri;03:33:47.28;-21:37:58.38;4.26;-0.11
;Per;ψ Per;03:36:29.37;48:11:33.48;4.32;-0.06
;For;τ For;03:38:47.67;-27:56:34.99;6.01;-0.03
Tupi;Ret;;03:39:43.17;-52:54:57.02;7.12;0.58
;For;δ For;03:42:14.90;-31:56:18.10;4.99;-0.16
;Per;δ Per;03:42:55.50;47:47:15.18;3.01;-0.12
Rana;Eri;δ Eri;03:43:14.90;-9:45:48.22;3.52;0.92
;Ret;β Ret;03:44:11.73;-64:48:24.85;3.84;1.13
Atik;Per;ο Per;03:44:19.13;32:17:17.69;3.84;0.02
Celaeno;Tau;;03:44:48.21;24:17:22.09;5.45;-0.03
Electra;Tau;;03:44:52.54;24:06:48.02;3.72;-0.10
;Per;ν Per;03:45:11.64;42:34:42.78;3.77;0.43
Taygeta;Tau;;03:45:12.49;24:28:02.20;4.30;-0.11
Maia;Tau;;03:45:49.60;24:22:03.89;3.87;-0.06
Asterope;Tau;;03:45:54.48;24:33:16.24;5.76;-0.04
;Eri;π Eri;03:46:08.53;-12:06:05.72;4.43;1.60
Merope;Tau;;03:46:19.57;23:56:54.09;4.14;-0.05
;For;σ For;03:46:27.43;-29:20:17.37;5.91;0.11
;Eri;τ6 Eri;03:46:50.89;-23:14:59.00;4.22;0.43
;Hyi;γ Hyi;03:47:14.26;-74:14:20.26;3.26;1.59
Alcyone;Tau;η Tau;03:47:29.08;24:06:18.49;2.85;-0.09
;Eri;τ7 Eri;03:47:39.65;-23:52:28.84;5.24;0.08
;For;ρ For;03:47:56.04;-30:10:04.38;5.52;0.97
Atlas;Tau;;03:49:09.74;24:03:12.29;3.62;-0.07
Pleione;Tau;;03:49:11.22;24:08:12.16;5.05;-0.08
;Cam;γ Cam;03:50:21.49;71:19:56.16;4.59;0.06
;Eri;τ8 Eri;03:53:42.70;-24:36:44.03;4.64;-0.14
;Per;ζ Per;03:54:07.92;31:53:01.09;2.84;0.27
;Per;ε Per;03:57:51.23;40:00:36.77;2.90;-0.20
Zaurak;Eri;γ Eri;03:58:01.77;-13:30:30.65;2.97;1.59
;Ret;δ Ret;03:58:44.74;-61:24:00.67;4.56;1.59
Menkib;Per;ξ Per;03:58:57.90;35:47:27.72;3.98;0.02
;Eri;τ9 Eri;03:59:55.48;-24:00:58.37;4.62;-0.12
;Tau;λ Tau;04:00:40.82;12:29:25.25;3.41;-0.10
;Ret;γ Ret;04:00:53.81;-62:09:33.42;4.48;1.50
;Ret;ι Ret;04:01:18.11;-61:04:43.76;4.97;1.39
;Tau;ν Tau;04:03:09.38;05:59:21.50;3.91;0.03
;Per;λ Per;04:06:35.05;50:21:04.54;4.25;-0.01
;Tau;ψ Tau;04:07:00.46;29:00:04.68;5.21;0.36
;Tau;ω1 Tau;04:09:09.96;19:36:33.18;5.51;1.08
;Hor;δ Hor;04:10:50.55;-41:59:36.86;4.93;0.33
Beid;Eri;ο1 Eri;04:11:51.94;-6:50:15.29;4.04;0.33
;Hor;α Hor;04:14:00.11;-42:17:39.72;3.85;1.09
;Ret;α Ret;04:14:25.45;-62:28:25.89;3.33;0.92
;Per;μ Per;04:14:53.86;48:24:33.59;4.12;0.94
Keid;Eri;ο2 Eri;04:15:16.33;-7:39:10.34;4.43;0.82
;Tau;μ Tau;04:15:32.06;08:53:32.49;4.27;-0.05
;Dor;γ Dor;04:16:01.55;-51:29:11.93;4.26;0.31
;Ret;ε Ret;04:16:29.06;-59:18:07.76;4.44;1.08
;Tau;ω2 Tau;04:17:15.66;20:34:42.93;4.93;0.26
;Ret;θ Ret;04:17:40.27;-63:15:19.46;5.88;-0.06
;Eri;υ4 Eri;04:17:53.65;-33:47:54.05;3.55;-0.11
;Men;δ Men;04:17:59.19;-80:12:50.52;5.67;0.84
Prima Hyadum;Tau;γ Tau;04:19:47.60;15:37:39.51;3.65;0.98
;Tau;φ Tau;04:20:21.22;27:21:02.71;4.97;1.15
;Men;ν Men;04:20:58.04;-81:34:47.71;5.78;0.36
;Ret;η Ret;04:21:53.27;-63:23:11.01;5.24;0.95
;Tau;χ Tau;04:22:34.94;25:37:45.53;5.38;-0.04
Secunda Hyadum;Tau;δ1 Tau;04:22:56.09;17:32:33.05;3.77;0.98
;Eri;ξ Eri;04:23:40.85;-3:44:43.69;5.17;0.07
Beemim;Eri;;04:24:02.21;-34:01:00.65;3.97;1.47
;Tau;δ2 Tau;04:24:05.76;17:26:38.87;4.80;0.15
;Tau;κ1 Tau;04:25:22.16;22:17:37.95;4.21;0.14
;Tau;κ2 Tau;04:25:25.01;22:11:59.99;5.27;0.25
;Tau;δ3 Tau;04:25:29.38;17:55:40.48;4.30;0.05
;Tau;υ Tau;04:26:18.46;22:48:48.90;4.28;0.26
;Tau;π Tau;04:26:36.37;14:42:49.62;4.69;0.98
;Tau;θ1 Tau;04:28:34.49;15:57:43.85;3.84;0.95
Ain;Tau;ε Tau;04:28:36.99;19:10:49.55;3.53;1.01
Chamukuy;Tau;θ2 Tau;04:28:39.74;15:52:15.18;3.40;0.18
;Cae;δ Cae;04:30:50.10;-44:57:13.50;5.07;-0.19
Hoggar;Tau;;04:31:25.45;04:34:31.03;8.38;1.01
;Eri;υ1 Eri;04:33:30.56;-29:45:59.37;4.49;0.97
;Tau;ρ Tau;04:33:50.91;14:50:39.93;4.65;0.25
;Dor;α Dor;04:33:59.75;-55:02:41.91;3.30;-0.08
Theemin;Eri;υ2 Eri;04:35:33.04;-30:33:44.43;3.81;0.96
Aldebaran;Tau;α Tau;04:35:55.24;16:30:33.48;0.87;1.54
;Eri;ν Eri;04:36:19.14;-3:21:08.85;3.93;-0.21
Sceptrum;Eri;;04:38:10.82;-14:18:14.47;3.86;1.08
;Tau;σ1 Tau;04:39:09.22;15:47:59.45;5.08;0.14
;Tau;σ2 Tau;04:39:16.50;15:55:04.72;4.67;0.15
;Cae;α Cae;04:40:33.74;-41:51:49.51;4.44;0.34
;Cae;β Cae;04:42:03.47;-37:08:39.47;5.04;0.39
;Tau;τ Tau;04:42:14.70;22:57:24.93;4.27;-0.11
;Pic;λ Pic;04:42:46.44;-50:28:52.80;5.30;0.98
;Men;μ Men;04:43:03.95;-70:55:51.70;5.53;-0.11
;Dor;κ Dor;04:44:21.14;-59:43:57.84;5.28;0.21
;Eri;μ Eri;04:45:30.15;-3:15:16.77;4.01;-0.15
;Cae;ζ Cae;04:47:49.57;-30:01:13.34;6.35;1.07
Tabit;Ori;π3 Ori;04:49:50.41;06:57:40.59;3.19;0.48
Mouhoun;Eri;;04:50:17.86;-24:22:07.82;7.91;0.96
;Ori;π2 Ori;04:50:36.72;08:54:00.63;4.35;0.01
;Pic;ι Pic;04:50:55.34;-53:27:41.43;5.58;0.34
;Pic;ι Pic;04:50:56.53;-53:27:34.91;6.42;0.48
;Ori;π4 Ori;04:51:12.36;05:36:18.37;3.68;-0.16
;Ori;ο1 Ori;04:52:31.96;14:15:02.31;4.71;1.77
;Eri;ω Eri;04:52:53.67;-5:27:09.70;4.36;0.26
;Cam;α Cam;04:54:03.01;66:20:33.64;4.26;-0.01
;Ori;π5 Ori;04:54:15.09;02:26:26.42;3.71;-0.18
;Ori;π1 Ori;04:54:53.73;10:09:03.00;4.64;0.09
;Men;η Men;04:55:11.15;-74:56:12.67;5.47;1.52
;Ori;ο2 Ori;04:56:22.28;13:30:52.08;4.06;1.16
Hassaleh;Aur;ι Aur;04:56:59.62;33:09:57.92;2.69;1.49
;Ori;π6 Ori;04:58:32.90;01:42:50.46;4.47;1.37
;Men;ξ Men;04:58:50.98;-82:28:13.84;5.84;0.93
;Aur;ω Aur;04:59:15.40;37:53:24.88;4.93;0.04
;Eri;ψ Eri;05:01:26.35;-7:10:26.27;4.80;-0.16
Almaaz;Aur;ε Aur;05:01:58.13;43:49:23.91;3.03;0.54
Saclateni;Aur;ζ Aur;05:02:28.68;41:04:33.01;3.69;1.15
;Men;β Men;05:02:43.00;-71:18:51.48;5.30;1.00
;Pic;η1 Pic;05:02:48.70;-49:09:05.07;5.37;0.42
;Tau;ι Tau;05:03:05.75;21:35:23.86;4.62;0.16
