name;constellation;bayer;ra;dec;mag;bv
;Aps;γ Aps;16:33:27.39;-78:53:49.73;3.86;0.92
;Nor;μ Nor;16:34:05.02;-44:02:43.13;4.86;0.05
;Her;σ Her;16:34:06.18;42:26:13.35;4.20;-0.01
;TrA;θ TrA;16:35:44.79;-65:29:43.44;5.50;0.95
Paikauhale;Sco;τ Sco;16:35:52.95;-28:12:57.66;2.82;-0.21
;Oph;ζ Oph;16:37:09.54;-10:34:01.52;2.54;0.04
;Her;ζ Her;16:41:17.21;31:36:09.81;2.81;0.65
;TrA;η1 TrA;16:41:23.12;-68:17:46.04;5.89;-0.08
;Her;η Her;16:42:53.76;38:55:20.11;3.48;0.92
;Aps;β Aps;16:43:05.25;-77:31:02.77;4.23;1.06
;UMi;ε UMi;16:45:58.17;82:02:14.14;4.21;0.90
Atria;TrA;α TrA;16:48:39.88;-69:01:39.77;1.91;1.45
;Ara;η Ara;16:49:47.14;-59:02:28.96;3.77;1.56
Larawag;Sco;ε Sco;16:50:09.89;-34:17:35.64;2.29;1.14
Xamidimura;Sco;μ1 Sco;16:51:52.23;-38:02:50.57;3.00;-0.20
Pipirima;Sco;μ2 Sco;16:52:20.15;-38:01:03.13;3.56;-0.21
Mahsati;Oph;;16:53:43.58;11:58:25.49;8.38;0.90
;Sco;ζ1 Sco;16:53:59.73;-42:21:43.29;4.70;0.44
;Oph;ι Oph;16:54:00.47;10:09:55.29;4.39;-0.09
;Sco;ζ2 Sco;16:54:35.03;-42:21:40.73;3.62;1.39
;Oph;κ Oph;16:57:40.10;09:22:30.12;3.19;1.16
;Ara;ζ Ara;16:58:37.22;-55:59:24.51;3.12;1.55
;Ara;ε1 Ara;16:59:35.05;-53:09:37.58;4.06;1.45
;Her;ε Her;17:00:17.38;30:55:35.06;3.92;-0.02
;Ara;ε2 Ara;17:03:08.71;-53:14:13.30;5.27;0.50
Rapeto;Sco;;17:04:30.85;-43:18:35.17;7.39;0.56
Alrakis;Dra;μ Dra;17:05:19.37;54:28:08.73;5.63;0.47
;Dra;μ Dra;17:05:20.14;54:28:12.15;4.91;0.47
Aldhibah;Dra;ζ Dra;17:08:47.21;65:42:52.86;3.17;-0.12
Sabik;Oph;η Oph;17:10:22.68;-15:43:29.68;2.43;0.06
;Sco;η Sco;17:12:09.19;-43:14:21.08;3.32;0.44
Rasalgethi;Her;α1 Her;17:14:38.86;14:23:25.20;2.78;1.16
Sarin;Her;δ Her;17:15:01.91;24:50:21.13;3.12;0.08
;Her;π Her;17:15:02.84;36:48:32.98;3.16;1.44
Guniibuu;Oph;;17:15:21.01;-26:36:10.18;4.33;0.86
;UMi;λ UMi;17:16:57.25;89:02:15.75;6.31;1.58
;Oph;ο Oph;17:18:00.61;-24:17:02.80;6.59;0.51
;Oph;ο Oph;17:18:00.68;-24:17:12.84;5.14;1.05
Inquill;Ara;;17:19:51.41;-48:32:57.55;6.67;0.61
;Ser;ν Ser;17:20:49.66;-12:50:48.75;4.32;0.04
;Oph;ξ Oph;17:21:00.36;-21:06:46.56;4.39;0.39
;Aps;ζ Aps;17:21:59.51;-67:46:14.40;4.76;1.19
;Oph;θ Oph;17:22:00.58;-24:59:58.36;3.27;-0.19
;Aps;ι Aps;17:22:05.88;-70:07:23.55;5.39;-0.04
;Ara;ι Ara;17:23:16.08;-47:28:05.51;5.21;-0.10
;Her;ρ Her;17:23:40.95;37:08:45.41;4.15;-0.01
;Ara;β Ara;17:25:17.99;-55:31:47.58;2.84;1.48
;Ara;γ Ara;17:25:23.66;-56:22:39.82;3.31;-0.15
;Ara;κ Ara;17:26:00.04;-50:38:00.64;5.19;1.05
;Oph;σ Oph;17:26:30.88;04:08:25.30;4.34;1.48
Rastaban;Dra;β Dra;17:30:25.97;52:18:04.99;2.79;0.95
Maasym;Her;λ Her;17:30:44.31;26:06:38.32;4.41;1.43
Lesath;Sco;υ Sco;17:30:45.84;-37:17:44.92;2.70;-0.18
;Ara;δ Ara;17:31:05.94;-60:41:01.85;3.60;-0.10
;Ara;α Ara;17:31:50.50;-49:52:34.12;2.84;-0.14
;Dra;ν1 Dra;17:32:10.50;55:11:03.27;4.89;0.25
Yildun;UMi;δ UMi;17:32:12.90;86:35:11.26;4.35;0.02
;Dra;ν2 Dra;17:32:15.96;55:10:22.65;4.86;0.28
Shaula;Sco;λ Sco;17:33:36.52;-37:06:13.76;1.62;-0.23
Rasalhague;Oph;α Oph;17:34:56.07;12:33:36.13;2.08;0.16
;Ara;σ Ara;17:35:39.60;-46:30:20.46;4.56;-0.02
;Dra;ω Dra;17:36:57.09;68:45:28.69;4.77;0.43
Sargas;Sco;θ Sco;17:37:19.13;-42:59:52.17;1.86;0.41
;Ser;ξ Ser;17:37:35.20;-15:23:54.81;3.54;0.26
;Oph;μ Oph;17:37:50.71;-8:07:07.58;4.58;0.13
;Ara;π Ara;17:38:05.54;-54:30:01.56;5.25;0.19
;Her;ι Her;17:39:27.89;46:00:22.80;3.82;-0.18
;Ara;λ Ara;17:40:23.79;-49:24:56.11;4.76;0.41
;Ser;ο Ser;17:41:24.87;-12:52:31.11;4.24;0.09
Dziban;Dra;ψ1 Dra;17:41:56.32;72:08:55.83;4.57;0.43
;Dra;ψ1 Dra;17:41:58.06;72:09:24.88;5.81;0.53
;Sco;κ Sco;17:42:29.28;-39:01:47.94;2.39;-0.17
Cebalrai;Oph;β Oph;17:43:28.35;04:34:02.29;2.76;1.17
Alruba;Dra;;17:43:59.17;53:48:06.17;5.75;0.02
Cervantes;Ara;μ Ara;17:44:08.71;-51:50:02.59;5.12;0.69
;Pav;η Pav;17:45:44.00;-64:43:25.94;3.61;1.16
;Her;μ Her;17:46:27.55;27:43:14.43;3.42;0.75
;Sco;ι1 Sco;17:47:35.08;-40:07:37.19;2.99;0.51
;Oph;γ Oph;17:47:53.56;02:42:26.19;3.75;0.04
Fuyue;Sco;;17:49:51.47;-37:02:35.89;3.19;1.19
;Sco;ι2 Sco;17:50:11.11;-40:05:25.57;4.78;0.26
Grumium;Dra;ξ Dra;17:53:31.68;56:52:21.51;3.73;1.18
;Dra;ψ2 Dra;17:55:11.14;72:00:18.46;5.43;0.34
;Her;θ Her;17:56:15.18;37:15:01.94;3.86;1.35
Eltanin;Dra;γ Dra;17:56:36.37;51:29:20.02;2.24;1.52
;Her;ξ Her;17:57:45.88;29:14:52.37;3.70;0.94
Barnard's Star;Oph;;17:57:48.50;04:41:36.20;9.54;1.57
;Her;ν Her;17:58:30.15;30:11:21.40;4.41;0.38
;Oph;ν Oph;17:59:01.59;-9:46:25.08;3.32;0.99
;Ser;ζ Ser;18:00:29.01;-3:41:24.97;4.62;0.39
;Oph;τ Oph;18:03:04.33;-8:10:54.15;5.24;0.38
;Oph;τ Oph;18:03:04.92;-8:10:49.26;4.77;0.41
Pincoya;Sgr;;18:03:06.94;-28:33:38.31;9.62;1.40
;Sgr;γ1 Sgr;18:05:01.23;-29:34:48.31;4.66;0.77
Alnasl;Sgr;γ2 Sgr;18:05:48.49;-30:25:26.73;2.98;0.98
;Ara;θ Ara;18:06:37.87;-50:05:29.32;3.65;-0.10
;Her;ο Her;18:07:32.55;28:45:44.96;3.84;-0.02
;Pav;π Pav;18:08:34.80;-63:40:06.79;4.33;0.23
;Pav;ι Pav;18:10:26.21;-62:00:07.91;5.47;0.59
;Tel;ε Tel;18:11:13.77;-45:57:15.90;4.52;1.01
Polis;Sgr;μ Sgr;18:13:45.81;-21:03:31.80;3.84;0.19
;Sgr;η Sgr;18:17:37.65;-36:45:42.07;3.10;1.58
;Lyr;κ Lyr;18:19:51.71;36:03:52.37;4.33;1.16
;Dra;φ Dra;18:20:45.44;71:20:16.13;4.22;-0.09
Kaus Media;Sgr;δ Sgr;18:20:59.64;-29:49:41.17;2.72;1.38
;Dra;χ Dra;18:21:02.65;72:43:58.23;3.55;0.49
;Ser;η Ser;18:21:18.60;-2:53:55.77;3.23;0.94
Alasia;Ser;;18:21:49.78;-11:55:21.66;7.95;0.71
;Pav;ξ Pav;18:23:13.62;-61:29:38.04;4.35;1.46
;Oct;φ Oct;18:23:36.44;-75:02:39.40;5.47;0.04
;Sct;ζ Sct;18:23:39.58;-8:56:03.78;4.66;0.93
Kaus Australis;Sgr;ε Sgr;18:24:10.32;-34:23:04.62;1.79;-0.03
;Lyr;μ Lyr;18:24:13.79;39:30:26.06;5.11;0.05
Fafnir;Dra;;18:25:59.05;65:33:48.53;4.82;1.18
;Tel;α Tel;18:26:58.42;-45:58:06.45;3.49;-0.18
Kaus Borealis;Sgr;λ Sgr;18:27:58.24;-25:25:18.12;2.82;1.02
;Tel;ζ Tel;18:28:49.82;-49:04:14.12;4.10;1.00
;Sct;γ Sct;18:29:11.85;-14:33:56.93;4.67;0.08
;Pav;ν Pav;18:31:22.43;-62:16:41.89;4.63;-0.12
;Tel;δ1 Tel;18:31:45.43;-45:54:53.33;4.92;-0.10
;Tel;δ2 Tel;18:32:01.95;-45:45:26.58;5.07;-0.13
;CrA;κ2 CrA;18:33:23.09;-38:43:12.12;6.31;0.02
;CrA;κ1 CrA;18:33:23.13;-38:43:33.55;5.67;-0.06
;CrA;θ CrA;18:33:30.18;-42:18:45.04;4.62;0.99
;Sct;α Sct;18:35:12.43;-8:14:38.66;3.85;1.32
Vega;Lyr;α Lyr;18:36:56.30;38:47:01.29;0.03;-0.00
;Sct;δ Sct;18:42:16.43;-9:03:09.18;4.70;0.36
Struve 2398 A;Dra;;18:42:47.44;59:37:49.43;8.94;1.50
Struve 2398 B;Dra;;18:42:47.70;59:37:36.65;9.70;1.56
;Pav;ζ Pav;18:43:02.14;-71:25:41.21;4.01;1.13
;Sct;ε Sct;18:43:31.25;-8:16:30.77;4.88;1.11
Xihe;Lyr;;18:43:36.11;36:33:23.78;6.04;1.04
;CrA;λ CrA;18:43:46.94;-38:19:24.39;5.11;0.08
;Lyr;ε1 Lyr;18:44:20.34;39:40:12.44;4.67;0.17
;Lyr;ε2 Lyr;18:44:22.78;39:36:45.80;4.59;0.18
;Lyr;ζ1 Lyr;18:44:46.35;37:36:18.41;4.34;0.19
;Lyr;ζ2 Lyr;18:44:48.20;37:35:40.61;5.73;0.28
;Sgr;φ Sgr;18:45:39.38;-26:59:26.80;3.17;-0.11
;Sct;β Sct;18:47:10.47;-4:44:52.32;4.22;1.09
;CrA;μ CrA;18:47:44.61;-40:24:22.20;5.20;0.78
;Pav;θ Pav;18:48:37.94;-65:04:39.64;5.71;0.27
;CrA;η1 CrA;18:48:50.49;-43:40:48.17;5.46;0.13
;CrA;η2 CrA;18:49:35.00;-43:26:02.77;5.60;-0.08
;Lyr;ν1 Lyr;18:49:45.91;32:48:46.15;5.93;-0.15
Ross 154;Sgr;;18:49:49.33;-23:50:10.44;10.37;1.51
;Lyr;ν2 Lyr;18:49:52.92;32:33:03.81;5.22;0.10
Sheliak;Lyr;β Lyr;18:50:04.79;33:21:45.60;3.52;0.00
;Dra;ο Dra;18:51:12.05;59:23:18.06;4.63;1.18
;Pav;λ Pav;18:52:13.04;-62:11:15.33;4.22;-0.15
;Tel;κ Tel;18:52:39.63;-52:06:26.53;5.18;0.96
;Lyr;δ1 Lyr;18:53:43.56;36:58:18.20;5.58;-0.14
Ainalrami;Sgr;ν1 Sgr;18:54:10.18;-22:44:41.40;4.86;1.41
;Dra;υ Dra;18:54:23.80;71:17:49.89;4.82;1.15
;Lyr;δ2 Lyr;18:54:30.28;36:53:55.01;4.22;1.58
;Oct;χ Oct;18:54:47.63;-87:36:21.03;5.29;1.30
;Sgr;ν2 Sgr;18:55:07.14;-22:40:16.78;5.00;1.35
Nunki;Sgr;σ Sgr;18:55:15.92;-26:17:48.20;2.05;-0.13
Kaveh;Ser;;18:55:40.88;04:15:55.17;8.02;0.87
Alya;Ser;θ1 Ser;18:56:13.18;04:12:12.94;4.62;0.16
;Ser;θ2 Ser;18:56:14.64;04:12:07.68;4.98;0.20
;Pav;κ Pav;18:56:57.04;-67:14:00.58;4.40;0.53
;Sct;η Sct;18:57:03.67;-5:50:46.73;4.83;1.06
;Sgr;ξ1 Sgr;18:57:20.48;-20:39:22.85;5.02;0.14
;Sgr;ξ2 Sgr;18:57:43.80;-21:06:23.95;3.52;1.15
;Tel;λ Tel;18:58:27.76;-52:56:19.06;4.85;-0.05
;Pav;ω Pav;18:58:36.52;-60:12:01.98;5.14;1.36
;CrA;ε CrA;18:58:43.40;-37:06:26.49;4.83;0.40
Sulafat;Lyr;γ Lyr;18:58:56.62;32:41:22.41;3.25;-0.05
;Aql;ε Aql;18:59:37.36;15:04:05.87;4.02;1.08
;Lyr;λ Lyr;19:00:00.82;32:08:43.85;4.94;1.47
Ascella;Sgr;ζ Sgr;19:02:36.72;-29:52:48.38;2.60;0.06
;CrA;ζ CrA;19:03:06.87;-42:05:42.38;4.74;-0.03
;Sgr;ο Sgr;19:04:40.98;-21:44:29.39;3.76;1.01
Okab;Aql;ζ Aql;19:05:24.61;13:51:48.52;2.99;0.01
;Aql;λ Aql;19:06:14.94;-4:52:57.19;3.43;-0.10
;Tel;ρ Tel;19:06:19.94;-52:20:27.28;5.17;0.53
;CrA;γ CrA;19:06:25.10;-37:03:48.37;4.23;0.52
;Sgr;τ Sgr;19:06:56.41;-27:40:13.52;3.32;1.17
;Lyr;ι Lyr;19:07:18.13;36:06:00.57;5.25;-0.11
;CrA;δ CrA;19:08:20.96;-40:29:48.13;4.57;1.07
Meridiana;CrA;α CrA;19:09:28.33;-37:54:16.11;4.11;0.04
Albaldah;Sgr;π Sgr;19:09:45.83;-21:01:25.01;2.88;0.38
;CrA;β CrA;19:10:01.75;-39:20:26.87;4.10;1.16
Altais;Dra;δ Dra;19:12:33.21;67:39:41.55;3.07;0.99
Aladfar;Lyr;η Lyr;19:13:45.49;39:08:45.48;4.43;-0.15
;Sgr;ψ Sgr;19:15:32.43;-25:15:24.06;4.86;0.57
Gumala;Sgr;;19:15:33.22;-24:10:45.67;6.25;0.55
;Dra;τ Dra;19:15:33.22;73:21:19.68;4.45;1.26
;Lyr;θ Lyr;19:16:22.09;38:08:01.43;4.35;1.26
;Pav;τ Pav;19:16:28.60;-69:11:26.97;6.25;0.19
;Cyg;κ Cyg;19:17:06.14;53:22:06.45;3.80;0.95
;Aql;ω1 Aql;19:17:49.00;11:35:43.52;5.28;0.20
;Aql;ω2 Aql;19:19:53.07;11:32:05.87;6.03;0.09
;Dra;π Dra;19:20:40.08;65:42:52.31;4.60;0.03
Belel;Sgr;;19:21:04.23;-23:37:10.46;7.55;1.02
;Sgr;ρ1 Sgr;19:21:40.36;-17:50:49.91;3.92;0.23
;Sgr;υ Sgr;19:21:43.62;-15:57:18.06;4.52;0.08
;Sgr;ρ2 Sgr;19:21:50.89;-18:18:30.20;5.84;1.06
Arkab Prior;Sgr;β1 Sgr;19:22:38.29;-44:27:32.27;3.96;-0.09
;Tel;η Tel;19:22:51.20;-54:25:26.15;5.03;0.02
Sika;Sgr;;19:22:52.98;-32:55:08.59;7.84;0.60
Arkab Posterior;Sgr;β2 Sgr;19:23:13.11;-44:47:59.20;4.27;0.35
Rukbat;Sgr;α Sgr;19:23:53.17;-40:36:57.38;3.96;-0.10
;Sgr;χ1 Sgr;19:25:16.49;-24:30:30.87;5.02;0.23
;Sgr;χ2 Sgr;19:25:22.34;-24:24:43.57;7.27;-0.00
;Sgr;χ3 Sgr;19:25:29.66;-23:57:44.85;5.45;1.44
;Aql;δ Aql;19:25:29.90;03:06:53.19;3.36;0.32
;Aql;ν Aql;19:26:31.09;00:20:18.85;4.64;0.58
;Cyg;ι1 Cyg;19:27:25.96;52:19:13.57;5.73;-0.00
Anser;Vul;α Vul;19:28:42.34;24:39:53.66;4.44;1.50
;Cyg;ι2 Cyg;19:29:42.35;51:43:47.20;3.76;0.15
;Tel;μ Tel;19:30:34.60;-55:06:36.19;6.29;0.45
Albireo;Cyg;β1 Cyg;19:30:43.28;27:57:34.85;3.05;1.09
;Cyg;β2 Cyg;19:30:45.40;27:57:54.99;5.12;-0.09
Uruk;Sge;;19:32:04.16;16:28:27.44;8.97;0.54
Alsafi;Dra;σ Dra;19:32:20.94;69:39:40.23;4.67;0.79
;Aql;μ Aql;19:34:05.35;07:22:44.19;4.45;1.18
Campbell's Hydrogen Star;Cyg;;19:34:45.23;30:30:58.94;10.00;-0.01
;Tel;ι Tel;19:35:12.99;-48:05:57.13;4.88;1.10
;Cyg;θ Cyg;19:36:26.54;50:13:15.97;4.49;0.40
;Aql;ι Aql;19:36:43.28;-1:17:11.76;4.36;-0.08
;Aql;κ Aql;19:36:53.45;-7:01:38.92;4.93;-0.05
;Sge;ε Sge;19:37:17.39;16:27:46.09;5.67;1.01
;Aql;σ Aql;19:39:11.64;05:23:51.98;5.18;-0.00
;Cyg;φ Cyg;19:39:22.60;30:09:11.96;4.68;0.97
Sham;Sge;α Sge;19:40:05.79;18:00:50.00;4.39;0.78
;Sge;β Sge;19:41:02.94;17:28:33.75;4.39;1.04
;Aql;χ Aql;19:42:34.01;11:49:35.70;5.28;0.57
;Aql;ψ Aql;19:44:34.19;13:18:10.02;6.25;-0.04
Fawaris;Cyg;δ Cyg;19:44:58.47;45:07:50.92;2.86;-0.00
;Aql;υ Aql;19:45:39.95;07:36:47.37;5.89;0.18
Tarazed;Aql;γ Aql;19:46:15.58;10:36:47.74;2.72;1.51
;Sge;δ Sge;19:47:23.26;18:32:03.43;3.68;1.31
;Tel;ν Tel;19:48:01.16;-56:21:45.40;5.33;0.20
;Dra;ε Dra;19:48:10.26;70:16:04.55;3.84;0.89
;Aql;π Aql;19:48:42.06;11:48:57.23;5.75;0.55
;Sge;ζ Sge;19:48:58.66;19:08:31.35;5.01;0.09
;Cyg;χ Cyg;19:50:33.93;32:54:50.61;7.91;2.10
Altair;Aql;α Aql;19:50:47.00;08:52:05.96;0.76;0.22
;Aql;ο Aql;19:51:01.64;10:24:56.62;5.12;0.56
;Aql;η Aql;19:52:28.37;01:00:20.38;3.87;0.63
Libertas;Aql;ξ Aql;19:54:14.88;08:27:41.23;4.71;1.02
;Sgr;ι Sgr;19:55:15.69;-41:52:05.84;4.12;1.06
Alshain;Aql;β Aql;19:55:18.79;06:24:24.35;3.71;0.86
;Cyg;ψ Cyg;19:55:37.80;52:26:20.21;4.91;0.12
Terebellum;Sgr;ω Sgr;19:55:50.34;-26:17:58.22;4.70;0.75
;Aql;φ Aql;19:56:14.25;11:25:25.40;5.28;0.01
;Cyg;η Cyg;19:56:18.38;35:05:00.33;3.89;1.02
Cygnus X-1;Cyg;;19:58:21.68;35:12:05.77;8.84;0.73
;Sge;γ Sge;19:58:45.43;19:29:31.73;3.51;1.57
;Sgr;θ1 Sgr;19:59:44.18;-35:16:34.70;4.37;-0.15
;Sgr;θ2 Sgr;19:59:51.34;-34:41:52.08;5.30;0.17
;Pav;μ1 Pav;20:00:23.10;-66:56:57.70;5.75;1.03
;Pav;ε Pav;20:00:35.44;-72:54:37.81;3.97;-0.03
;Pav;μ2 Pav;20:01:52.43;-66:56:38.28;5.32;1.22
;Dra;ρ Dra;20:02:49.06;67:52:24.83;4.51;1.31
;Aql;τ Aql;20:04:08.31;07:16:40.68;5.51;1.06
;Sge;η Sge;20:05:09.49;19:59:27.86;5.09;1.06
;Tel;ξ Tel;20:07:23.16;-52:52:50.85;4.93;1.59
;Pav;δ Pav;20:08:42.57;-66:10:55.44;3.55;0.75
;Cep;κ Cep;20:08:53.32;77:42:41.11;4.38;-0.05
;Sge;θ Sge;20:09:56.65;20:54:54.10;6.51;0.39
;Aql;θ Aql;20:11:18.29;00:49:17.26;3.24;-0.07
;Cap;ξ1 Cap;20:11:57.90;-12:23:32.65;6.34;1.21
;Cap;ξ2 Cap;20:12:25.87;-12:37:02.99;5.84;0.48
;Aql;ρ Aql;20:14:16.62;15:11:51.39;4.94;0.07
Chechia;Aql;;20:16:06.01;04:34:50.86;6.44;0.87
;Cap;α1 Cap;20:17:38.87;-12:30:29.56;4.30;0.93
Algedi;Cap;α2 Cap;20:18:03.25;-12:32:41.47;3.58;0.88
;Cap;σ Cap;20:19:23.60;-19:07:06.72;5.28;1.39
Alshat;Cap;ν Cap;20:20:39.81;-12:45:32.69;4.77;-0.05
Dabih;Cap;β Cap;20:21:00.67;-14:46:52.92;3.05;0.79
Sadr;Cyg;γ Cyg;20:22:13.70;40:15:24.04;2.23;0.67
;Sgr;κ1 Sgr;20:22:27.50;-42:02:58.37;5.60;0.00
;Sgr;κ2 Sgr;20:23:53.18;-42:25:22.32;5.64;0.20
Peacock;Pav;α Pav;20:25:38.85;-56:44:06.32;1.94;-0.12
;Cap;π Cap;20:27:19.21;-18:12:42.20;5.08;-0.05
;Cap;ρ Cap;20:28:51.61;-17:48:49.27;4.77;0.39
;Cep;θ Cep;20:29:34.85;62:59:38.78;4.21;0.20
;Cap;ο Cap;20:29:52.59;-18:35:10.96;6.74;0.22
;Cap;ο Cap;20:29:53.91;-18:34:59.44;5.94;0.06
;Cyg;ω1 Cyg;20:30:03.54;48:57:05.65;4.94;-0.09
;Cyg;ω2 Cyg;20:31:18.81;49:13:13.07;5.44;1.57
Aldulfin;Del;ε Del;20:33:12.77;11:18:11.75;4.03;-0.12
;Mic;ν Mic;20:33:55.07;-44:30:57.77;5.12;1.00
;Del;η Del;20:33:57.04;13:01:38.12;5.39;0.09
;Del;ζ Del;20:35:18.54;14:40:27.17;4.64;0.12
;Pav;φ1 Pav;20:35:34.81;-60:34:54.30;4.75;0.29
Rotanev;Del;β Del;20:37:32.94;14:35:42.31;3.64;0.43
;Ind;α Ind;20:37:34.02;-47:17:29.41;3.11;1.00
;Pav;ρ Pav;20:37:35.27;-61:31:47.70;4.86;0.45
;Del;ι Del;20:37:49.12;11:22:39.63;5.42;0.05
;Del;θ Del;20:38:43.99;13:18:54.45;5.69;1.51
;Del;κ Del;20:39:07.78;10:05:10.33;5.07;0.70
;Cap;τ Cap;20:39:16.32;-14:57:17.14;5.24;-0.13
Sualocin;Del;α Del;20:39:38.29;15:54:43.46;3.77;-0.06
;Pav;φ2 Pav;20:40:02.45;-60:32:56.01;5.11;0.54
;Cap;υ Cap;20:40:02.95;-18:08:19.17;5.15;1.65
Deneb;Cyg;α Cyg;20:41:25.92;45:16:49.22;1.25;0.09
;Oct;μ2 Oct;20:41:43.83;-75:21:02.89;6.51;0.62
;Pav;υ Pav;20:41:57.07;-66:45:38.46;5.14;-0.06
;Oct;μ1 Oct;20:42:02.63;-76:10:50.13;5.99;0.45
;Del;δ Del;20:43:27.53;15:04:28.49;4.43;0.30
;Ind;η Ind;20:44:02.28;-51:55:15.50;4.51;0.28
;Pav;β Pav;20:44:57.53;-66:12:11.56;3.42;0.16
;Cep;η Cep;20:45:17.32;61:50:19.62;3.41;0.91
;Cap;ψ Cap;20:46:05.74;-25:16:15.23;4.13;0.43
Aljanah;Cyg;ε Cyg;20:46:12.64;33:58:12.92;2.48;1.02
;Del;γ1 Del;20:46:38.86;16:07:26.88;5.15;0.50
;Del;γ2 Del;20:46:39.50;16:07:27.47;4.27;1.04
;Cyg;λ Cyg;20:47:24.54;36:29:26.58;4.53;-0.08
Albali;Aqr;ε Aqr;20:47:40.55;-9:29:44.79;3.78;0.00
;Mic;ι Mic;20:48:29.10;-43:59:18.76;5.11;0.36
;Pav;σ Pav;20:49:18.24;-68:46:35.48;5.41;1.12
;Ind;ζ Ind;20:49:28.95;-46:13:36.57;4.90;1.49
;Mic;α Mic;20:49:58.08;-33:46:47.00;4.89;1.00
;Ind;ι Ind;20:51:30.05;-51:36:29.44;5.06;1.12
;Cap;ω Cap;20:51:49.29;-26:55:08.88;4.12;1.63
;Mic;β Mic;20:51:58.76;-33:10:40.71;6.06;0.03
;Aqr;μ Aqr;20:52:39.23;-8:58:59.94;4.73;0.32
;Ind;β Ind;20:54:48.59;-58:27:14.96;3.67;1.25
;Cyg;ν Cyg;20:57:10.41;41:10:01.69;3.94;0.03
Musica;Del;;20:58:25.94;10:50:21.43;5.51;0.93
;Equ;ε Equ;20:59:04.48;04:17:36.53;5.30;0.46
;Mic;γ Mic;21:01:17.46;-32:15:27.96;4.67;0.89
;Mic;ζ Mic;21:02:57.96;-38:37:53.21;5.32;0.42
;Cap;η Cap;21:04:24.30;-19:51:17.97;4.82;0.17
;Oct;α Oct;21:04:43.04;-77:01:25.56;5.13;0.49
;Cyg;ξ Cyg;21:04:55.86;43:55:40.27;3.72;1.61
;Ind;μ Ind;21:05:14.24;-54:43:37.35;5.17;1.20
;Cap;θ Cap;21:05:56.82;-17:13:58.30;4.08;-0.01
;Mic;δ Mic;21:06:01.14;-30:07:30.43;5.69;1.05
;Mic;η Mic;21:06:25.51;-41:23:09.47;5.55;1.35
;Cap;χ Cap;21:08:33.62;-21:11:37.21;5.30;0.00
Polaris Australis;Oct;σ Oct;21:08:46.03;-88:57:23.40;5.45;0.28
;Aqr;ν Aqr;21:09:35.65;-11:22:18.09;4.50;0.93
;Equ;γ Equ;21:10:20.50;10:07:53.68;4.70;0.26
;Cyg;ζ Cyg;21:12:56.19;30:13:36.90;3.21;0.99
;Pav;ο Pav;21:13:20.46;-70:07:34.56;5.06;1.58
Solaris;Peg;;21:13:35.99;14:41:21.79;9.78;1.61
;Equ;δ Equ;21:14:28.81;10:00:25.13;4.47;0.53
;Cyg;τ Cyg;21:14:47.46;38:02:43.14;3.74;0.39
;Cap;φ Cap;21:15:37.90;-20:39:06.11;5.17;1.16
Kitalpha;Equ;α Equ;21:15:49.43;05:14:52.24;3.92;0.55
Lacaille 8760;Mic;;21:17:15.81;-38:52:02.50;6.69;1.40
;Cyg;σ Cyg;21:17:24.95;39:23:40.85;4.22;0.10
;Cyg;υ Cyg;21:17:55.08;34:53:48.83;4.41;-0.10
;Mic;ε Mic;21:17:56.28;-32:10:21.14;4.71;0.07
Alderamin;Cep;α Cep;21:18:34.67;62:35:08.06;2.45;0.26
;Ind;θ Ind;21:19:51.95;-53:26:57.94;4.39;0.19
;Mic;θ1 Mic;21:20:45.63;-40:48:34.07;4.80;0.03
;Cap;ι Cap;21:22:14.79;-16:50:04.35;4.28;0.89
;Equ;β Equ;21:22:53.61;06:48:40.10;5.16;0.06
;Mic;θ2 Mic;21:24:24.81;-41:00:24.10;5.76;-0.04
;Ind;γ Ind;21:26:15.44;-54:39:37.65;6.10;0.37
;Pav;γ Pav;21:26:26.54;-65:21:58.31;4.21;0.49
;Cap;ζ Cap;21:26:40.03;-22:24:40.80;3.77;1.00
Alfirk;Cep;β Cep;21:28:39.58;70:33:38.58;3.23;-0.20
Sadalsuud;Aqr;β Aqr;21:31:33.54;-5:34:16.22;2.90;0.83
;Gru;ξ Gru;21:32:05.87;-41:10:45.52;5.29;1.11
;Cyg;ρ Cyg;21:33:58.86;45:35:30.61;3.98;0.88
;Cap;ε Cap;21:37:04.83;-19:27:57.64;4.51;-0.18
Bunda;Aqr;ξ Aqr;21:37:45.11;-7:51:15.12;4.68;0.17
Sāmaya;PsA;;21:38:08.40;-31:44:14.95;8.56;0.55
Nashira;Cap;γ Cap;21:40:05.45;-16:39:44.31;3.69;0.32
;Oct;ν Oct;21:41:28.51;-77:23:24.17;3.73;1.01
Azelfafage;Cyg;π1 Cyg;21:42:05.66;51:11:22.64;4.69;-0.12
;Cap;κ Cap;21:42:39.50;-18:51:58.76;4.72;0.87
Bosona;Aqr;;21:43:24.90;-7:24:29.71;8.34;1.01
;Cep;μ Cep;21:43:30.46;58:46:48.17;4.23;2.24
;Cyg;μ1 Cyg;21:44:08.56;28:44:33.48;4.49;0.51
Enif;Peg;ε Peg;21:44:11.16;09:52:30.04;2.38;1.52
;Peg;κ Peg;21:44:38.73;25:38:42.13;4.14;0.43
;PsA;ι PsA;21:44:56.81;-33:01:32.81;4.35;-0.05
